#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Video Content Genre,Views / Plays,Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Reason,Caption Preview
1,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@safarnama.kartik,5986,"🕉️ Mantras, Japa Meditation & Puja Rituals",13490533,87514,346,0.65%,1467.76%,2026-01-31,https://www.instagram.com/p/DULPCWCjEWG/,🚀 Boosted (Paid Ad Spend): High view multiplier (2253.68x followers) combined with low engagement rate (0.65%),"Where spirituality meets style Ft. @japam.in brings authentic, handcrafted jewelry designed to radiate strength, positivity, and purpose.✅ Shop the collection at www.japam.in ✨  #japam #reels #viralreels #trendingreels #devotional   Japam, Rudraksha,"
2,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@shivyapathania,452000,"🕉️ Mantras, Japa Meditation & Puja Rituals",12966053,74607,425,0.58%,16.60%,2026-01-14,https://www.instagram.com/p/DTfYmQzDKjj/,🚀 Boosted (Paid Ad Spend): High view multiplier (28.69x followers) combined with low engagement rate (0.58%),"“Lately, I’m choosing things that feel calm ✨ Nothing loud. Nothing forced. Just good energy. Dhanashree Pyrite anklet from @japam.in Easy to wear, easy to feel.” Magic that can only be felt personally !"
3,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@harsh_nagpal,30000,"🔬 Rudraksha Authenticity, Lab Testing & Craft Lore",6337488,17676,213,0.28%,59.63%,2025-11-08,https://www.instagram.com/p/DQyy7V3Dzbp/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (6,337,488) with sub-0.35% like rate (0.28%) indicates paid video ads campaign","Spiritual meets style. 🕉️ This Silver Plated Eternal Karungali Mala from @japam.in isn’t just an accessory — it’s energy, authenticity, and elegance, all in one. From daily wear to mindful moments, it’s a beautiful reminder that fashion can have a de"
4,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@harsh_nagpal,30000,"🕉️ Mantras, Japa Meditation & Puja Rituals",2084949,4075,134,0.20%,14.03%,2026-01-27,https://www.instagram.com/p/DUAfucIj08l/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (2,084,949) with sub-0.35% like rate (0.2%) indicates paid video ads campaign","Not just something you wear… something you believe in 🖤 This Karungali Necklace with Hanuman Ji Pendant from @japam.in carries strength, protection, and grounding energy.  Made with genuine Karungali beads and crafted under strict quality checks — pl"
5,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@kanha_girl385,103000,"🕉️ Mantras, Japa Meditation & Puja Rituals",1437563,13686,164,0.95%,13.45%,2026-08-11,https://www.instagram.com/p/Db4_MmuPZ1y/,"🔍 Likely Boosted (Targeted Ad): Disproportionate views (1,437,563) relative to likes (13,686)",Rakhi కేవలం ఒక దారం కాదు… ❤️ | Special Rakhi for My Brother | Japam Karungali Rakhi  ఈ రక్షాబంధన్‌కి నా అన్న కోసం ప్రత్యేకమైన Rakhi కోసం వెతుకుతుండగా Japam Karungali Rakhi Collection నాకు చాలా నచ్చింది. ❤️  🌿 Original Karungali Beads ✨ Handcrafted De
6,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@ridhivarmaofficial,42000,"🕉️ Mantras, Japa Meditation & Puja Rituals",478788,3368,33,0.70%,8.10%,2026-07-31,https://www.instagram.com/p/DbdQk3PsZVs/,"🔍 Likely Boosted (Targeted Ad): Disproportionate views (478,788) relative to likes (3,368)","🌸 The Most Meaningful Rakhi Gift of 2026 💎 . . . . . Every sister wishes for her brother's happiness, success, and prosperity. This year, make your Rakhi gift truly meaningful with the Japam Lotus Dhanlabh Crystal Rakhi Box. 🌸 💎 Includes: • Lotus Dha"
7,Tier 1: Toggle ON + Boosted,Japam,Pan-India / Rajasthan (HQ: Jaipur),@vivekthakuurr,3024,"🕉️ Mantras, Japa Meditation & Puja Rituals",17125,3,60,0.02%,2.08%,2026-03-07,https://www.instagram.com/p/DVkeIwdD5KH/,🚀 Boosted (Paid Ad Spend): High view multiplier (5.66x followers) combined with low engagement rate (0.02%),"Har Har Mahadev🙏 Rudraksh Jap Mala – Shiv bhakton ke liye pavitra saathi. . . Shop now at @japam.in  And www.japam.in  . . #japam #ʜᴀʀʜᴀʀᴍᴀʜᴀᴅᴇᴠ #rudrakshmala #peace  Follow @vivekthakuurr  ( japam , rudrakshmala , mahadev , japam.in , spiritual , de"
8,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@theanshagrawal,4812,"🕉️ Mantras, Japa Meditation & Puja Rituals",21980741,403408,461,1.84%,8392.96%,2026-04-04,https://www.instagram.com/p/DWtQGNTCRqj/,⚪ Standard Organic: Baseline organic collab reach,"Gold plated Karungali necklace with a divine Hanuman pendant 🔱 A symbol of strength, protection & style. Shop now from @japam.in 🛍️  #hanuman #faith #power #money #karunglimala"
9,Tier 2: Toggle ON + Organic,Japam,Pan-India / Rajasthan (HQ: Jaipur),@atouchofmystery_telugu,187000,🕉️ Devotional Content & Spiritual Storytelling,3686366,235994,3298,6.40%,127.96%,2025-07-25,https://www.instagram.com/p/DMiFLQYpugu/,"📈 Viral Organic Reach: High organic views (3,686,366) with strong like rate (6.4%)",Rakshabandan Born from Mahabharatam ? | The story behind Rakshabandan | A Touch of Mystery-Telugu . . Comment “Link” to get the website link & Coupon code on DM . . Keywords:  Rakshabandan story | Rakhi panduga story | Why do we celebrate raksha band
10,Tier 2: Toggle ON + Organic,Divine Hindu,Pan-India / Delhi NCR (HQ: New Delhi),@shannu_7,3000000,✨ Spiritual Lifestyle & Modern Wellness,2156441,57975,70,2.69%,1.93%,2026-04-15,https://www.instagram.com/p/DXJqLkWE8G7/,⚪ Standard Organic: Baseline organic collab reach,"Known as the “Miracle Wood,” Karungali helps improve focus and supports your path to success. Our Silver-Capped Malai blends this natural power with the elegance of silver 🖤 Lab-certified for your peace of mind 📜  Get yours today from divinehindu.in"
