#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays,Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Reason,Caption Preview
1,Tier 1: Toggle ON + Boosted,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@itskivitime,190473,1419376,3543,30,0.25%,1.88%,2026-02-11,https://www.instagram.com/p/DUncFu5kjIq/,"🚀 Heavily Boosted (Paid Ad Spend): High view count (1,419,376) with sub-0.35% like rate (0.25%) indicates paid video ads campaign",Is this cute?   Check out the new @gullylabs new colourways perfect for Valentine’s! They’ve got a couple of cool colourways that you can get for yourself and your QT3.14 😜
2,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@surya_14kumar,20366023,38520394,702391,3299,1.82%,3.47%,2026-04-21,https://www.instagram.com/p/DXZGA7DNlRa/,⚪ Standard Organic: Baseline organic collab reach,"Glad to be part of the Skechers family. Playing my game, my way - with comfort that performs."
3,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@kartikaaryan,50294891,2989452,161592,2439,5.41%,0.33%,2026-03-23,https://www.instagram.com/p/DWOXTPejRD6/,⚪ Standard Organic: Baseline organic collab reach,Keeping it effortless with @skechersindia Hotshots !! 🥰 #SkechersIndia #FindYourFlow #Skechers #Ad
4,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@ananyapanday,26281819,1592036,86056,801,5.41%,0.33%,2026-08-18,https://www.instagram.com/p/DcK5rQpCJFv/,⚪ Standard Organic: Baseline organic collab reach,My new Skechers Hotshots are in town and I love it. Get yours now at @skechersindia 💜  #Skechersindia #SkechersHotshots #collab
5,Tier 2: Toggle ON + Organic,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@winonakicks,231074,1470133,70530,163,4.80%,30.59%,2026-07-15,https://www.instagram.com/p/DazDa4vNLzg/,⚪ Standard Organic: Baseline organic collab reach,Customizable?💥  #gullylabs #gullylabs001 #gullylabsbaaz
6,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@kartikaaryan,50294891,1194133,123757,763,10.36%,0.25%,2026-02-26,https://www.instagram.com/p/DVNgI5CDT5z/,⚪ Standard Organic: Baseline organic collab reach,Energy check ✔️  Drip check ✔️ @skechersindia Hotshots mode: ON. 👟⚡ Find Your Flow and roll with it. 😎 #SkechersIndia #FindYourFlow #Skechers #Ad
7,Tier 2: Toggle ON + Organic,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@yashvi.bhaia,32650,495108,5999,96,1.21%,18.67%,2026-04-22,https://www.instagram.com/p/DXbzOf9CU0Q/,⚪ Standard Organic: Baseline organic collab reach,comment gully and ill send you the link⭐️  i’ve been wearing chappals to the club since 2022 & ur telling me i can finally be cool while doing it???  @gullylabs where were u when i was getting chappal slander  #ad
8,Tier 2: Toggle ON + Organic,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@sameoldseth,243090,406947,14104,124,3.47%,5.85%,2025-10-03,https://www.instagram.com/p/DPWe5vBDISd/,⚪ Standard Organic: Baseline organic collab reach,"This budget friendly premium sneaker is kind of a sleeper 👀  Meet the Gully Labs GL001 'Kulfi Kesar' 🤘  Made in local Indian factories with premium materials, the Kulfi Kesar celebrates the nation’s most nostalgic summer treat, inspired by the warm, "
9,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@alayaf,2073808,362470,19593,320,5.41%,0.96%,2026-02-05,https://www.instagram.com/p/DUXrytHiK2T/,⚪ Standard Organic: Baseline organic collab reach,"Hands-free style for my busiest days, & always on time with my @Skechersindia Slip ins🙌👟   #SkechersIndia #SkechersSlipins #Skechers #Collab"
10,Tier 2: Toggle ON + Organic,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@anuj.mp4,156713,128202,2773,33,2.16%,1.79%,2026-04-09,https://www.instagram.com/p/DW6mEwijIht/,⚪ Standard Organic: Baseline organic collab reach,sorry @vedmaddison i’ll get @gullylabs to send u a pair next time ♥️
11,Tier 2: Toggle ON + Organic,Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@i.sahaj,183147,93897,1020,51,1.09%,0.58%,2025-10-16,https://www.instagram.com/p/DP3mBceARYP/,⚪ Standard Organic: Baseline organic collab reach,#AD   @skechersindia Slip-ins was the only solution I was waiting for 😍  .  #Skechers #SkechersIndia
12,Tier 2: Toggle ON + Organic,Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@illuminatedmilk,63655,52949,2046,65,3.86%,3.32%,2026-06-10,https://www.instagram.com/p/DZaU_axK7MH/,⚪ Standard Organic: Baseline organic collab reach,Your summer chappal is served 🦾 What does it remind you of?   Shop now on Gullylabs.in  #Ad 🧠 @atiyawalcottfits I’ve been obsessed with her style
13,Tier 4: Toggle OFF + Organic (Noise),Comet,"Pan-India / Karnataka (HQ: Bengaluru, D2C)",@thevishnukaushal,2104862,3906077,227869,1093,5.83%,10.88%,2026-03-11,https://www.instagram.com/p/DVvpnKhj5D8/,⚪ Standard Organic: Baseline organic collab reach,meri aura farming toh gayi bhaad mein 🙃  obsessed with @thecometuniverse peel off orange sneakers 🥰 launching today at 6 (only limited pieces available)   • ad #indianmemes #desi #funnyreels #comedy #desimom
14,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@harshiitarora,55628,3673485,254798,2153,6.94%,461.91%,2025-10-30,https://www.instagram.com/p/DQcAFiCE-V3/,⚪ Standard Organic: Baseline organic collab reach,Jhalar- a tale of expression . . ft. shahi collection by @gullylabs  @komalmunshii  shot by- @too.vishal  written and directed by yours truly. music- railgaadi by achint . . #sneakers #gullylabs #love #jhalar #storytelling #indiansneakers #2states
15,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@smartkicksofficial,200449,3511015,38041,209,1.08%,19.08%,2026-03-25,https://www.instagram.com/p/DWTyQ3rE3Ho/,⚪ Standard Organic: Baseline organic collab reach,"#1 Homegrown Sneaker brand of India, @gullylabs is going global. We presented Baaz by Gully Labs to the biggest names in the sneaker world. Let’s go big @gullylabs  {Gully Labs, ComplexCon, Complex Con Hong Kong, Hong Kong, Indian Sneaker Brand, Snea"
16,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@kartikaaryan,50294891,2733978,128665,876,4.71%,0.26%,2026-02-21,https://www.instagram.com/p/DVAmuRUiIms/,⚪ Standard Organic: Baseline organic collab reach,Fresh drop. Full power !! Warning: Too much drip & dance ahead. 👟 Find Your Flow with Skechers’ Hotshots. 😉⚡  #SkechersIndia #FindYourFLow #Skechers
17,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@ananyapanday,26281819,2564870,44383,3535,1.73%,0.18%,2026-02-26,https://www.instagram.com/p/DVOCi2cDPMp/,⚪ Standard Organic: Baseline organic collab reach,Steal the scene 🎬   @ananyapanday is bringing that hotshot energy to life.   Ready to step up with Skechers Hotshots? ❤️‍🔥  #SkechersIndia #FindYourFlow
18,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@cartoon_snacks,859392,2407650,125543,334,5.21%,14.65%,2026-08-10,https://www.instagram.com/p/Db3FKROvsaD/,⚪ Standard Organic: Baseline organic collab reach,Every mom's favourite weapon 😆 Faster than the speed of light😜😜😜#desiMom#MomPower#dogeshbhai✨️ @gullylabs
19,Tier 4: Toggle OFF + Organic (Noise),Gully Labs,"Pan-India / Delhi NCR (HQ: New Delhi, D2C)",@aryankatoch17,1103182,1862116,115406,2832,6.20%,10.72%,2026-01-25,https://www.instagram.com/p/DT7IJ8ogmdC/,⚪ Standard Organic: Baseline organic collab reach,"Roots, not rolls. let’s take it global 🌏 @gullylabs we did it. :)) Comment “shoe” for link 🔗  . . . . #devbhoomi #himachal #gullylabs #sharktankindia #pahadi"
20,Tier 4: Toggle OFF + Organic (Noise),Skechers India,Pan-India / Maharashtra (HQ: Mumbai),@ananyapanday,26281819,1449216,78336,417,5.41%,0.30%,2026-03-18,https://www.instagram.com/p/DWBi-3OjJ87/,⚪ Standard Organic: Baseline organic collab reach,The kind of sneakers you end up wearing everywhere 🥰 Find Your Flow with the all-new @skechersindia Hotshots.  #SkechersIndia #FindYourFlow #Skechers
