#,Brand Name,State / Origin (HQ),Total Collab Posts,Total Unique Creators,Tier 1 (Toggle ON + Boosted),Tier 2 (Toggle ON + Organic),Tier 3 (Toggle OFF + Boosted),Tier 4 (Noise / Unboosted),Total High-Intent Paid Posts,High-Intent Paid %,Avg Estimated Views,Avg Creator Followers,Avg Creator ER%,Top Creator Samples
1,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),1192,713,8 posts (6 creators),3 posts (3 creators),525 posts (287 creators),656 posts (420 creators),536,45.0%,864099,540272,20.58%,"@vijaysuryaoffl, @kannikasnekan, @pooja.sh_, @samosa_mookka"
2,Pai International,Karnataka & Telangana (HQ: Bengaluru),261,169,—,—,89 posts (60 creators),172 posts (109 creators),89,34.1%,859580,379184,20.47%,"@shreyanka_patil31, @shreyaanachappa, @street.comic, @mokshith_poojary_"
3,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",147,126,—,—,89 posts (76 creators),58 posts (50 creators),89,60.5%,2257389,846340,25.92%,"@vaishali_and_anand, @cookininshort, @just_neel_things, @astuti_mw"
4,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",113,96,—,—,78 posts (66 creators),35 posts (30 creators),78,69.0%,1526791,834776,14.29%,"@abhijeetkain, @beyounick, @farahkhankunder, @arjunpandeyhere"
5,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),248,175,1 posts (1 creators),1 posts (1 creators),53 posts (41 creators),193 posts (133 creators),55,22.2%,399029,448983,8.51%,"@devika029, @chandnibhagwanani, @techrohithofficial, @masalatriptea"
6,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),85,73,1 posts (1 creators),—,46 posts (37 creators),38 posts (35 creators),47,55.3%,3440043,1075249,21.31%,"@ansh_rajpal_, @thedeverakonda, @deepestgarg, @beyounick"
7,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",260,138,—,4 posts (2 creators),35 posts (25 creators),221 posts (112 creators),39,15.0%,391795,184791,20.46%,"@glimpse_of_jamshedpur, @mithilavlogs, @official_gonda_43_, @official___faridi_up81"
8,Tata Neu,"Pan-India / Maharashtra (HQ: Mumbai, Tata Digital)",69,50,1 posts (1 creators),—,17 posts (14 creators),51 posts (35 creators),18,26.1%,655287,490228,9.77%,"@avantii2, @raghav_sharmaaaaa, @aadu_mayy, @kartikcz"
9,Electronics Mart,Telangana & Andhra Pradesh (HQ: Hyderabad),63,59,1 posts (1 creators),—,12 posts (12 creators),50 posts (46 creators),13,20.6%,596929,255236,18.57%,"@devika029, @nishchay.verma, @masalatriptea, @harshdeepahujavines"
10,Great Eastern,West Bengal & East India (HQ: Kolkata),24,23,—,—,6 posts (6 creators),18 posts (17 creators),6,25.0%,490286,92129,41.69%,"@saikatdey_24, @mango_knowsball, @tinnirnachghor, @kolkatacityofjoy"
